"","Bezrobocie","Koła kluby sekcje","Biblioteki","Kluby seniora","Lekarze","Oczyszczalnia ścieków","Małżeństwa","Mieszkania","PKB","Beneficjenci ŚPS","Powierzchnia użytkowa","Przestępstwa stwierdzone","Rozwody","Powierzchnia zielona","Dzieci w przedszkolach","Wydatki 754","Wykrawalność przestępstw","Wynagrodzenia","Wypadki przy pracy","Zachowania samobójcze","Separacje"
"PODREGION OLSZTYŃSKI",7.2,10.357685169563,119,1.1,3.50936392778809,79.1,3.76413025139194,412.4,37571,0.548,16893733,18.9,0.18,0.36,879,80558548.25,73.5,6002.8,5.43,0.27,0.015
"PODREGION ŁÓDZKI",5.6,9.18147825641551,104,1,4.03626491830149,61.3,3.64441940275572,419.5,26849,0.277,13124117,17.56,0.167,0.53,913,30694262.77,71.1,5766.66,4.4,0.4,0.013
"PODREGION MIASTO ŁÓDŹ",4.5,18.7412672377134,185,0.6,9.39341473786526,98.6,4.08845149140392,571.4,69039,0.253,20889329,23.73,0.186,13.92,1029,124831628.4,46.2,6629.23,4.85,0.93,0.026
"PODREGION PIOTRKOWSKI",6,15.8204034829971,126,1.2,2.33274805604329,67.6,3.85566345361379,402.2,44348,0.412,17771504,18.75,0.188,0.35,891,58580159.27,79,6282.98,4.52,0.53,0.048
"PODREGION SIERADZKI",6.3,11.8905925459171,139,1.4,2.19608392261196,56.2,3.9370813787953,376.2,25633,0.364,13743772,15.59,0.149,0.23,889,31993465.68,75,5631.26,4.45,0.5,0.012
"PODREGION SKIERNIEWICKI",5.6,13.2584924916169,125,1.4,2.10234728094474,54.1,3.99766729844001,393.1,20950,0.377,10579108,18.85,0.164,0.28,930,30421856.76,73,5692.37,5.97,0.4,0.006
"PODREGION KIELECKI",7.7,7.83721539586005,105,0.7,4.31095113979562,79.2,3.57728958945293,400.8,45278,0.425,21249501,21.76,0.139,0.41,920,80318744.61,72.9,5804.93,5.49,0.52,0.021
"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI",7.9,9.26408264170934,104,0.5,2.14329860497969,50.7,3.91797633763023,371.3,23880,0.512,14343438,16.58,0.115,0.23,850,49750056.95,81,5734.57,2.99,0.31,0.024
"PODREGION BIALSKI",9.4,11.4707952146376,135,0.9,2.43138634764251,60.1,3.96551724137931,392.8,14807,0.531,9184437,16.8,0.147,0.14,883,42802352.63,81.5,5472.89,4.14,0.42,0.018
"PODREGION CHEŁMSKO-ZAMOJSKI",10.3,8.72835433084326,131,1,2.38123728610745,53.8,3.7265594283663,380.7,24993,0.453,18264437,14.93,0.139,0.23,853,88728313.88,82,5367.41,3.34,0.46,0.017
"PODREGION LUBELSKI",6.1,8.7702614471854,167,0.5,7.67025293099043,67,4.08067675362648,427,50864,0.276,22257495,17.27,0.169,0.53,950,98559900.33,67.9,6358.63,5.29,0.37,0.023
"PODREGION PUŁAWSKI",7.6,11.2261870439777,133,1.1,2.12015701581247,50.6,4.03184670998647,367.4,23642,0.351,13749279,13.97,0.133,0.24,883,37608273.94,76.5,5565.12,4.55,0.31,0.011
"PODREGION KROŚNIEŃSKI",10.7,8.64543982730707,132,0.4,2.89260658391797,74.2,3.81651376146789,327.6,21280,0.468,13071385,12.53,0.119,1.78,860,49667676.05,71.4,5306.76,4.78,0.41,0.013
"PODREGION PRZEMYSKI",12.4,4.26778690498488,100,0.4,2.4777245605116,82.5,3.96542958820539,337.6,15279,0.614,10649451,11.43,0.11,2.91,878,53493084.38,69.4,5266.57,4.47,0.29,0.019
"PODREGION RZESZOWSKI",7.5,17.725700876868,144,1.1,4.39051500555761,80.3,4.11572187229838,361.7,44061,0.365,19747619,13.57,0.121,1.1,928,61984086.7,65.1,6000.23,4.02,0.31,0.011
"PODREGION TARNOBRZESKI",6.9,8.35015815330776,142,0.9,2.24779594858335,76.3,3.91513560804899,337.9,35282,0.393,16799912,13.47,0.112,1.52,893,52917937.95,68.2,5645.75,3.58,0.33,0.025
"PODREGION BIAŁOSTOCKI",6.4,10.3946930708569,122,0.7,6.7315030428742,82.4,3.94497387628906,441.5,34853,0.378,16426859,16.93,0.148,0.36,972,94529462.79,69.3,6017.37,4.94,0.52,0.041
"PODREGION ŁOMŻYŃSKI",7.2,12.2411758395022,96,1.5,2.1295998283446,56.2,4.19214676536852,397.4,21266,0.491,12536500,15.77,0.131,0.16,865,59209024.03,82.5,6128.68,5.41,0.53,0.029
"PODREGION SUWALSKI",8,6.56312625250501,108,0.4,2.07337752427933,63.6,3.90010790812394,373.6,14031,0.572,7860226,29.65,0.142,0.15,869,51069608.86,91.4,5822.99,4.79,0.46,0.015
"PODREGION MIASTO WARSZAWA",1.5,18.6951524720996,209,0.9,8.68484086832297,97.3,4.69070559297092,570.3,427951,0.164,62445416,29.96,0.178,9.92,1071,366743409.99,52.9,8540.11,2.85,0.18,0.007
"PODREGION WARSZAWSKI WSCHODNI",5.2,16.4889681883459,129,2.1,2.70246747029897,67.2,4.00510611137705,388.2,42866,0.245,23739743,22.67,0.154,0.34,968,118166567.53,68,6114.34,2.98,0.22,0.004
"PODREGION WARSZAWSKI ZACHODNI",2.9,18.8314441586341,145,1.8,3.62523673573226,73,3.80331854029454,417.6,71949,0.193,28288530,20.39,0.169,0.61,989,173681138.16,61.4,7079.72,3.38,0.18,0.014
"PODREGION CIECHANOWSKI",9.8,13.1821946804921,94,1.8,2.1259625118876,48.4,4.14148541276805,378.9,21807,0.42,9947678,23.1,0.177,0.16,837,48186575.86,78.3,5736.12,3.97,0.28,0.015
"PODREGION OSTROŁĘCKI",8.5,9.5494083959155,105,1,1.98281916905289,51.6,4.12772164892755,349.5,24423,0.516,11387305,18.54,0.141,0.13,855,53558988.49,78.7,5871.61,3.36,0.31,0.022
"PODREGION RADOMSKI",12.9,8.93059514406401,110,1.1,2.42968508533947,63.4,4.02142930732511,383.4,33230,0.377,17045135,16.48,0.146,0.34,868,91660864.45,68.5,6017.31,3.38,0.22,0.024
"PODREGION PŁOCKI",8.7,6.31918083511436,162,0.7,2.85814539538741,63.3,3.9235701298287,394.3,50893,0.439,9301738,19.92,0.211,0.29,871,72179841.61,78.7,7120.05,3.05,0.67,0.035
"PODREGION SIEDLECKI",6.2,15.1324429467007,112,2.1,2.42089352528682,58.6,4.35116584483485,387.8,25665,0.398,13123508,16.38,0.15,0.19,933,69822397.4,74.2,5777.47,3.91,0.38,0.01
"PODREGION ŻYRARDOWSKI",4.3,8.46021706879051,107,1.7,1.97157804325759,56.1,4.22815647692668,398.6,18779,0.287,8176731,22.43,0.175,0.22,938,46095756,67.8,6560.85,3.52,0.19,0.023
